Terms,docFreq,postList
hills,2,"[33, 33]"
hingga,7,"[17, 36, 17, 23, 11, 18, 1]"
hl,2,"[23, 25]"
hortimart,4,"[32, 32, 32, 32]"
hotel,2,"[18, 28]"
hubungi,1,[35]
hutan,1,[21]
i,1,[20]
ialah,1,[16]
icip,2,"[3, 3]"
id,5,"[23, 18, 27, 25, 36]"
ikan,1,[30]
ikon,2,"[13, 15]"
in,2,"[4, 4]"
indah,9,"[30, 12, 16, 28, 7, 28, 35, 21, 31]"
indonesia,3,"[26, 21, 12]"
indonesiakaya,1,[21]
indoor,1,[18]
indrokilo,2,"[16, 3]"
info,8,"[4, 6, 0, 33, 1, 2, 3, 24]"
informasi,4,"[16, 35, 34, 35]"
ingat,1,[14]
ingin,5,"[28, 27, 22, 29, 16]"
inhouse,1,[27]
ini,28,"[17, 19, 29, 27, 5, 17, 21, 14, 13, 37, 33, 37, 28, 31, 20, 21, 22, 36, 36, 16, 29, 33, 20, 15, 22, 30, 26, 37]"
instagram,4,"[25, 23, 16, 16]"
instagrammable,3,"[9, 11, 11]"
instruksi,1,[20]
iriban,1,[16]
isdiman,2,"[26, 26]"
islam,1,[1]
istimewa,2,"[27, 18]"
itu,3,"[32, 34, 10]"
iya,2,"[6, 10]"
jadi,1,[13]
jajanan,1,[16]
jalan,12,"[30, 27, 26, 10, 3, 20, 27, 27, 22, 3, 27, 21]"
jalur,1,[27]
jam,2,"[36, 25]"
jangan,1,[2]
jantung,1,[28]
jaran,1,[16]
jasa,2,"[26, 29]"
jatenggayeng,7,"[4, 9, 3, 5, 8, 2, 6]"
jatenghits,1,[2]
jatuh,2,"[10, 19]"
jauh,3,"[8, 15, 15]"
java,2,"[36, 36]"
jawa,8,"[13, 20, 35, 29, 10, 26, 19, 35]"
jawabannya,1,[4]
jawabnya,1,[9]
jejakpiknik,1,[22]
jelajah,2,"[3, 21]"
jembatan,5,"[21, 14, 14, 14, 14]"
jenis,1,[15]
jepang,1,[11]
jernih,2,"[16, 17]"
jika,1,[27]
jl,3,"[35, 32, 18]"
jogja,1,[20]
joglo,5,"[26, 33, 33, 33, 33]"
juga,20,"[36, 21, 13, 32, 18, 24, 22, 11, 27, 15, 29, 27, 10, 16, 9, 30, 23, 0, 14, 16]"
jumat,1,[17]
jumlah,1,[29]
jump,1,[10]
jumpai,1,[10]
ka,1,[20]
kab,5,"[2, 17, 3, 1, 11]"
kabupaten,11,"[6, 15, 8, 34, 0, 14, 5, 12, 2, 34, 3]"
kaca,4,"[14, 14, 14, 14]"
kacang,1,[36]
kadeso,1,[16]
kafe,2,"[34, 35]"
kakao,1,[18]
kaki,3,"[14, 2, 24]"
kalah,1,[14]
kalangan,1,[25]
kalau,4,"[6, 6, 4, 5]"
kalian,1,[6]
kaliurip,4,"[13, 13, 13, 13]"
kaliwungu,1,[5]
kamis,1,[17]
kampoeng,4,"[18, 18, 18, 18]"
kampoengkopibanaran,1,[18]
kampung,3,"[11, 11, 11]"
kamu,4,"[13, 0, 11, 7]"
kan,1,[11]
kanan,1,[31]
kangen,1,[0]
kaos,1,[24]
karaoke,1,[24]
karena,2,"[2, 19]"
karet,1,[18]
kata,1,[37]
katolik,2,"[22, 12]"
kawasan,3,"[15, 30, 31]"
kayana,2,"[0, 0]"
kayu,1,[22]
ke,16,"[3, 36, 3, 13, 6, 30, 15, 5, 15, 5, 4, 14, 6, 16, 6, 6]"
kearah,1,[31]
kebersihannya,1,[17]
kebondowo,1,[25]
kebun,1,[7]
kec,1,[10]
kecamatan,11,"[25, 12, 8, 14, 5, 22, 2, 19, 17, 30, 13]"
keceh,2,"[5, 6]"
kedalaman,3,"[23, 13, 17]"
kedamaian,1,[8]
kedua,1,[3]
keempat,1,[3]
keheningan,1,[8]
keindahan,1,[15]
keji,1,[33]
kelima,1,[3]
kelinci,2,"[6, 6]"
keluarga,9,"[9, 10, 3, 24, 24, 5, 9, 36, 33]"
kelurahan,1,[22]
kembar,3,"[37, 37, 37]"
kemiri,1,[13]
kenapa,1,[12]
kendaraan,2,"[13, 26]"
kental,1,[35]
kenyang,1,[5]
kepang,1,[16]
kepenatan,1,[27]
kerajinan,1,[16]
keramaian,1,[8]
keren,1,[11]
kerep,7,"[12, 22, 12, 22, 12, 22, 22]"
kereta,4,"[20, 20, 20, 20]"
keripik,1,[3]
kesatu,1,[3]
kesejukan,1,[23]
keseneng,1,[21]
kesenian,2,"[16, 16]"
kesibukan,1,[27]
kesultanan,1,[1]
ketiga,1,[3]
ketinggian,7,"[13, 21, 34, 14, 21, 34, 6]"
khas,5,"[27, 13, 37, 35, 35]"
khatulistiwa,1,[7]
khusus,2,"[14, 36]"
kidcastle,1,[28]
kilometer,1,[20]
kincir,1,[15]
kingkong,1,[6]
kini,1,[1]
kirinya,1,[31]
km,4,"[33, 18, 26, 30]"
kolam,12,"[27, 34, 23, 17, 17, 17, 6, 17, 17, 5, 17, 18]"
koleksi,1,[26]
kolonial,1,[20]
komplek,1,[29]
kompleks,1,[29]
komplit,2,"[9, 34]"
kondisi,1,[21]
kondisinya,1,[2]
konstruksi,1,[2]
kopeng,8,"[24, 10, 10, 10, 24, 24, 10, 24]"
kopi,7,"[18, 18, 18, 18, 18, 16, 31]"
korea,1,[9]
kota,9,"[20, 26, 31, 20, 25, 26, 24, 36, 30]"
kuat,1,[29]
kuda,2,"[24, 29]"
kuliner,3,"[3, 13, 3]"
kulineran,1,[9]
kunjungi,5,"[18, 34, 24, 27, 35]"
kuno,2,"[20, 20]"
kurang,3,"[30, 26, 29]"
kuuyyyy,1,[6]
labirin,1,[11]
lagi,4,"[28, 4, 15, 36]"
lain,4,"[16, 27, 26, 18]"
lainnya,7,"[2, 3, 34, 31, 10, 4, 28]"
lalu,1,[10]
lama,1,[25]
langit,2,"[14, 14]"
langsung,3,"[5, 15, 7]"
