Freq,Posting_ptr,Terms_ptr
2,"[33, 33]",2349
7,"[17, 36, 17, 23, 11, 18, 1]",2354
2,"[23, 25]",2360
4,"[32, 32, 32, 32]",2362
2,"[18, 28]",2371
1,[35],2376
1,[21],2383
1,[20],2388
1,[16],2389
2,"[3, 3]",2394
5,"[23, 18, 27, 25, 36]",2398
1,[30],2400
2,"[13, 15]",2404
2,"[4, 4]",2408
9,"[30, 12, 16, 28, 7, 28, 35, 21, 31]",2410
3,"[26, 21, 12]",2415
1,[21],2424
1,[18],2437
2,"[16, 3]",2443
8,"[4, 6, 0, 33, 1, 2, 3, 24]",2452
4,"[16, 35, 34, 35]",2456
1,[14],2465
5,"[28, 27, 22, 29, 16]",2470
1,[27],2475
28,"[17, 19, 29, 27, 5, 17, 21, 14, 13, 37, 33, 37, 28, 31, 20, 21, 22, 36, 36, 16, 29, 33, 20, 15, 22, 30, 26, 37]",2482
4,"[25, 23, 16, 16]",2485
3,"[9, 11, 11]",2494
1,[20],2508
1,[16],2517
2,"[26, 26]",2523
1,[1],2530
2,"[27, 18]",2535
3,"[32, 34, 10]",2543
2,"[6, 10]",2546
1,[13],2549
1,[16],2553
12,"[30, 27, 26, 10, 3, 20, 27, 27, 22, 3, 27, 21]",2560
1,[27],2565
2,"[36, 25]",2570
1,[2],2573
1,[28],2579
1,[16],2586
2,"[26, 29]",2591
7,"[4, 9, 3, 5, 8, 2, 6]",2595
1,[2],2607
2,"[10, 19]",2617
3,"[8, 15, 15]",2622
2,"[36, 36]",2626
8,"[13, 20, 35, 29, 10, 26, 19, 35]",2630
1,[4],2634
1,[9],2644
1,[22],2652
2,"[3, 21]",2663
5,"[21, 14, 14, 14, 14]",2670
1,[15],2678
1,[11],2683
2,"[16, 17]",2689
1,[27],2695
3,"[35, 32, 18]",2699
1,[20],2701
5,"[26, 33, 33, 33, 33]",2706
20,"[36, 21, 13, 32, 18, 24, 22, 11, 27, 15, 29, 27, 10, 16, 9, 30, 23, 0, 14, 16]",2711
1,[17],2715
1,[29],2720
1,[10],2726
1,[10],2730
1,[20],2736
5,"[2, 17, 3, 1, 11]",2738
11,"[6, 15, 8, 34, 0, 14, 5, 12, 2, 34, 3]",2741
4,"[14, 14, 14, 14]",2750
1,[36],2754
1,[16],2760
2,"[34, 35]",2766
1,[18],2770
3,"[14, 2, 24]",2775
1,[14],2779
1,[25],2784
4,"[6, 6, 4, 5]",2792
1,[6],2797
4,"[13, 13, 13, 13]",2803
1,[5],2811
1,[17],2820
4,"[18, 18, 18, 18]",2825
1,[18],2833
3,"[11, 11, 11]",2852
4,"[13, 0, 11, 7]",2859
1,[11],2863
1,[31],2866
1,[0],2871
1,[24],2877
1,[24],2881
2,"[2, 19]",2888
1,[18],2894
1,[37],2899
2,"[22, 12]",2903
3,"[15, 30, 31]",2910
2,"[0, 0]",2917
1,[22],2923
16,"[3, 36, 3, 13, 6, 30, 15, 5, 15, 5, 4, 14, 6, 16, 6, 6]",2927
1,[31],2929
1,[17],2935
1,[25],2948
1,[7],2957
1,[10],2962
11,"[25, 12, 8, 14, 5, 22, 2, 19, 17, 30, 13]",2965
2,"[5, 6]",2974
3,"[23, 13, 17]",2979
1,[8],2988
1,[3],2997
1,[3],3002
1,[8],3009
1,[15],3019
1,[33],3028
1,[3],3032
2,"[6, 6]",3038
9,"[9, 10, 3, 24, 24, 5, 9, 36, 33]",3045
1,[22],3053
3,"[37, 37, 37]",3062
1,[13],3068
1,[12],3074
2,"[13, 26]",3080
1,[35],3089
1,[5],3095
1,[16],3102
1,[27],3108
1,[16],3117
1,[8],3126
1,[11],3135
7,"[12, 22, 12, 22, 12, 22, 22]",3140
4,"[20, 20, 20, 20]",3145
1,[3],3151
1,[3],3158
1,[23],3164
1,[21],3173
2,"[16, 16]",3181
1,[27],3189
1,[1],3198
1,[3],3208
7,"[13, 21, 34, 14, 21, 34, 6]",3214
5,"[27, 13, 37, 35, 35]",3224
1,[7],3228
2,"[14, 36]",3240
1,[28],3246
1,[20],3255
1,[15],3264
1,[6],3270
1,[1],3278
1,[31],3282
4,"[33, 18, 26, 30]",3289
12,"[27, 34, 23, 17, 17, 17, 6, 17, 17, 5, 17, 18]",3291
1,[26],3296
1,[20],3303
1,[29],3311
1,[29],3318
2,"[9, 34]",3326
1,[21],3333
1,[2],3340
1,[2],3350
8,"[24, 10, 10, 10, 24, 24, 10, 24]",3360
7,"[18, 18, 18, 18, 18, 16, 31]",3366
1,[9],3370
9,"[20, 26, 31, 20, 25, 26, 24, 36, 30]",3375
1,[29],3379
2,"[24, 29]",3383
3,"[3, 13, 3]",3387
1,[9],3394
5,"[18, 34, 24, 27, 35]",3403
2,"[20, 20]",3411
3,"[30, 26, 29]",3415
1,[6],3421
1,[11],3428
4,"[28, 4, 15, 36]",3435
4,"[16, 27, 26, 18]",3439
7,"[2, 3, 34, 31, 10, 4, 28]",3443
1,[10],3450
1,[25],3454
2,"[14, 14]",3458
3,"[5, 15, 7]",3464
3,"[24, 35, 10]",3472
1,[13],3478
1,[14],3483
4,"[19, 19, 19, 19]",3488
1,[28],3492
7,"[35, 30, 27, 28, 24, 26, 24]",3498
1,[34],3503
2,"[15, 2]",3510
3,"[29, 1, 31]",3517
7,"[3, 3, 16, 16, 16, 16, 17]",3523
1,[34],3528
1,[27],3536
1,[0],3541
1,[15],3544
1,[6],3551
1,[15],3560
2,"[35, 23]",3570
1,[6],3575
1,[13],3580
1,[16],3584
1,[34],3590
1,[28],3596
1,[27],3600
2,"[21, 29]",3605
2,"[9, 11]",3611
2,"[25, 12]",3620
3,"[28, 24, 27]",3624
1,[2],3628
5,"[14, 22, 22, 13, 17]",3632
1,[37],3633
2,"[26, 24]",3638
1,[12],3646
2,"[6, 6]",3652
1,[2],3656
1,[1],3665
4,"[32, 37, 16, 37]",3673
1,[5],3680
1,[14],3685
1,[6],3693
1,[3],3699
1,[8],3708
13,"[12, 8, 8, 8, 22, 22, 12, 22, 12, 22, 22, 22, 12]",3712
1,[34],3717
1,[1],3723
3,"[27, 5, 35]",3727
3,"[34, 28, 14]",3734
1,[1],3739
3,"[17, 36, 28]",3745
1,[2],3750
3,"[21, 17, 27]",3760
3,"[25, 27, 25]",3764
3,"[9, 6, 6]",3772
1,[18],3775
2,"[22, 28]",3782
1,[27],3791
1,[28],3798
1,[27],3805
2,"[21, 27]",3815
2,"[36, 21]",3823
1,[17],3830
1,[14],3836
2,"[9, 17]",3844
1,[26],3850
1,[20],3858
1,[27],3868
1,[29],3877
2,"[35, 23]",3889
1,[20],3899
1,[36],3906
1,[8],3913
4,"[25, 3, 34, 3]",3920
8,"[29, 21, 24, 18, 16, 24, 28, 17]",3927
1,[26],3935
1,[20],3949
1,[14],3959
2,"[10, 10]",3966
1,[15],3975
6,"[3, 4, 31, 30, 36, 2]",3981
7,"[23, 13, 33, 25, 34, 20, 35]",3988
1,[16],3998
1,[25],4007
3,"[14, 14, 10]",4018
1,[8],4029
1,[27],4040
1,[26],4052
3,"[14, 10, 14]",4061
4,"[15, 33, 25, 34]",4072
1,[18],4084
1,[20],4093
3,"[33, 1, 29]",4101
5,"[31, 36, 7, 21, 20]",4112
6,"[23, 12, 18, 33, 26, 15]",4121
1,[34],4128
1,[11],4138
1,[30],4146
2,"[27, 21]",4155
1,[27],4161
3,"[35, 36, 27]",4168
1,[16],4178
1,[2],4189
5,"[26, 32, 30, 32, 27]",4200
3,"[28, 23, 27]",4211
1,[26],4223
1,[15],4232
1,[7],4243
1,[27],4248
1,[13],4254
2,"[27, 24]",4263
1,[25],4270
1,[15],4276
8,"[26, 17, 29, 29, 20, 22, 34, 32]",4283
8,"[13, 23, 22, 17, 9, 12, 23, 11]",4292
1,[14],4297
1,[20],4306
3,"[17, 16, 3]",4313
1,[15],4319
2,"[16, 36]",4327
1,[27],4334
1,[37],4340
1,[26],4346
1,[34],4353
1,[9],4357
2,"[36, 23]",4362
1,[1],4367
1,[19],4373
4,"[30, 30, 30, 30]",4379
9,"[26, 26, 20, 26, 20, 20, 20, 20, 20]",4385
1,[28],4391
3,"[8, 8, 8]",4396
1,[6],4403
1,[29],4407
2,"[21, 29]",4411
1,[13],4416
1,[16],4421
1,[26],4426
1,[12],4432
1,[0],4438
1,[0],4445
1,[16],4450
1,[10],4456
1,[0],4462
1,[32],4465
2,"[27, 33]",4467
1,[33],4473
1,[33],4476
1,[5],4482
2,"[1, 1]",4487
1,[32],4496
2,"[30, 26]",4500
2,"[6, 11]",4505
1,[31],4507
1,[36],4511
5,"[9, 9, 29, 24, 24]",4517
5,"[36, 7, 36, 36, 36]",4521
1,[14],4523
2,"[18, 4]",4527
7,"[17, 23, 25, 13, 36, 14, 7]",4530
2,"[32, 32]",4535
1,[28],4542
1,[18],4545
3,"[23, 24, 27]",4552
3,"[34, 18, 28]",4560
2,"[32, 37]",4567
1,[18],4568
8,"[21, 2, 33, 1, 22, 2, 29, 20]",4575
2,"[30, 30]",4579
2,"[25, 16]",4586
1,[26],4590
2,"[27, 24]",4598
1,[26],4607
2,"[20, 34]",4614
1,[31],4619
2,"[26, 26]",4623
1,[21],4630
1,[16],4638
1,[22],4644
4,"[7, 30, 25, 6]",4651
4,"[26, 27, 30, 23]",4659
1,[34],4663
3,"[6, 6, 13]",4673
1,[33],4677
3,"[3, 16, 24]",4680
1,[10],4685
1,[35],4690
4,"[22, 12, 22, 15]",4698
1,[34],4704
1,[25],4709
1,[35],4716
4,"[20, 27, 27, 25]",4724
3,"[33, 9, 34]",4734
1,[9],4739
2,"[30, 28]",4746
9,"[35, 33, 34, 31, 0, 23, 25, 21, 31]",4757
5,"[30, 30, 30, 30, 30]",4768
1,[16],4777
1,[17],4788
1,[30],4799
1,[18],4809
1,[14],4818
1,[28],4827
1,[14],4832
1,[18],4840
2,"[36, 27]",4850
3,"[4, 34, 33]",4859
3,"[18, 16, 36]",4869
15,"[22, 36, 36, 23, 15, 14, 28, 31, 14, 34, 36, 18, 35, 20, 35]",4879
5,"[25, 25, 27, 25, 20]",4889
2,"[29, 1]",4895
1,[27],4906
1,[22],4915
1,[16],4923
1,[1],4928
2,"[13, 36]",4935
1,[31],4938
5,"[0, 36, 27, 32, 31]",4948
1,[15],4958
6,"[24, 17, 10, 23, 28, 23]",4963
2,"[36, 3]",4972
1,[2],4978
3,"[17, 23, 9]",4984
1,[21],4993
1,[20],5003
1,[26],5014
1,[24],5025
1,[5],5034
2,"[12, 12]",5039
1,[3],5045
1,[2],5060
1,[36],5075
3,"[7, 7, 0]",5085
1,[2],5090
1,[37],5099
2,"[1, 22]",5109
1,[3],5117
2,"[13, 15]",5124
1,[26],5131
1,[28],5138
1,[28],5142
1,[16],5152
1,[3],5161
1,[25],5164
1,[27],5171
2,"[2, 2]",5174
1,[36],5179
1,[36],5185
1,[30],5191
2,"[36, 17]",5196
3,"[2, 35, 23]",5201
1,[35],5205
1,[16],5208
2,"[11, 12]",5214
1,[32],5219
2,"[0, 0]",5224
3,"[13, 13, 13]",5228
5,"[25, 36, 20, 24, 9]",5237
2,"[19, 19]",5242
1,[1],5247
1,[17],5255
1,[29],5259
1,[31],5266
2,"[2, 20]",5270
2,"[6, 6]",5274
1,[1],5281
2,"[5, 5]",5286
1,[34],5290
1,[35],5295
1,[10],5300
1,[9],5307
5,"[25, 20, 27, 25, 25]",5312
3,"[18, 26, 10]",5316
1,[34],5320
1,[16],5324
3,"[14, 14, 14]",5330
1,[34],5334
1,[4],5344
1,[28],5353
2,"[36, 20]",5360
1,[3],5368
2,"[1, 1]",5377
1,[17],5383
8,"[34, 17, 18, 27, 17, 17, 5, 28]",5389
1,[16],5395
2,"[35, 16]",5399
1,[27],5408
2,"[33, 35]",5413
7,"[27, 28, 24, 27, 27, 18, 35]",5418
2,"[36, 18]",5424
4,"[27, 23, 4, 10]",5434
5,"[32, 33, 35, 27, 24]",5439
1,[36],5447
1,[36],5453
1,[13],5460
1,[15],5464
2,"[30, 30]",5470
1,[13],5476
1,[9],5480
2,"[27, 27]",5489
3,"[8, 8, 8]",5493
2,"[30, 2]",5497
7,"[17, 28, 25, 28, 36, 28, 28]",5505
2,"[16, 17]",5507
1,[35],5509
1,[16],5514
1,[11],5519
1,[13],5524
1,[20],5530
1,[30],5536
1,[17],5541
10,"[36, 27, 21, 33, 34, 32, 37, 22, 25, 23]",5543
4,"[25, 2, 13, 8]",5544
1,[17],5548
1,[16],5553
4,"[9, 3, 15, 17]",5561
1,[6],5565
2,"[30, 24]",5571
2,"[22, 22]",5579
1,[37],5584
1,[11],5590
1,[13],5595
4,"[7, 14, 26, 20]",5601
2,"[30, 9]",5607
1,[0],5613
1,[28],5617
1,[2],5626
5,"[21, 33, 27, 24, 30]",5630
1,[29],5636
1,[16],5643
1,[16],5650
2,"[20, 30]",5654
1,[20],5658
3,"[16, 30, 33]",5665
1,[32],5670
3,"[32, 24, 32]",5675
5,"[28, 24, 1, 30, 20]",5682
1,[27],5689
1,[3],5696
3,"[27, 26, 35]",5703
1,[18],5709
1,[30],5718
8,"[7, 32, 24, 21, 7, 13, 32, 5]",5724
2,"[13, 5]",5729
1,[13],5737
1,[27],5744
1,[32],5750
6,"[37, 17, 27, 37, 17, 29]",5755
1,[22],5763
2,"[26, 26]",5768
1,[27],5775
3,"[33, 12, 32]",5781
1,[27],5786
1,[15],5794
1,[30],5802
1,[7],5808
1,[14],5817
11,"[34, 33, 20, 2, 21, 31, 20, 31, 37, 6, 13]",5825
1,[6],5832
4,"[15, 34, 32, 35]",5842
2,"[17, 1]",5848
1,[31],5854
1,[17],5860
1,[5],5866
3,"[0, 33, 34]",5873
1,[5],5885
1,[4],5892
1,[10],5898
1,[14],5902
1,[10],5908
28,"[8, 11, 1, 6, 12, 6, 36, 30, 34, 15, 5, 34, 10, 26, 14, 2, 36, 18, 2, 16, 20, 25, 0, 18, 3, 3, 3, 17]",5918
1,[8],5926
2,"[29, 29]",5933
3,"[9, 9, 9]",5941
2,"[31, 31]",5948
1,[29],5956
1,[4],5961
2,"[27, 32]",5969
1,[33],5976
1,[17],5980
1,[26],5985
1,[14],5992
2,"[14, 14]",5999
3,"[27, 31, 28]",6007
10,"[24, 16, 5, 34, 28, 36, 28, 23, 10, 27]",6013
1,[19],6020
3,"[14, 16, 15]",6028
7,"[10, 5, 10, 9, 28, 34, 10]",6033
1,[10],6037
1,[3],6043
1,[2],6050
1,[18],6056
1,[26],6063
1,[14],6069
1,[10],6076
5,"[16, 3, 17, 36, 17]",6083
1,[12],6089
6,"[34, 34, 34, 34, 34, 34]",6097
3,"[24, 34, 35]",6106
1,[16],6114
1,[27],6121
1,[15],6128
1,[37],6133
7,"[11, 6, 11, 27, 1, 13, 3]",6141
1,[35],6145
1,[20],6152
5,"[17, 17, 17, 17, 17]",6158
3,"[10, 10, 10]",6165
1,[10],6171
3,"[11, 13, 10]",6174
5,"[4, 7, 6, 0, 5]",6179
5,"[4, 2, 15, 4, 29]",6190
1,[20],6195
1,[25],6204
1,[24],6208
1,[16],6216
2,"[35, 18]",6222
1,[18],6225
2,"[3, 3]",6230
5,"[4, 7, 9, 11, 11]",6237
1,[29],6241
1,[20],6248
1,[18],6255
1,[9],6259
4,"[0, 7, 7, 7]",6268
2,"[35, 31]",6276
1,[12],6283
1,[32],6291
1,[1],6298
4,"[6, 11, 6, 31]",6310
3,"[21, 32, 30]",6314
1,[27],6320
1,[21],6327
1,[21],6335
2,"[16, 30]",6340
5,"[11, 11, 16, 11, 4]",6346
3,"[16, 36, 3]",6353
1,[11],6357
2,"[1, 1]",6364
3,"[30, 20, 22]",6369
1,[27],6374
3,"[14, 17, 15]",6379
1,[19],6382
8,"[18, 13, 15, 15, 15, 15, 15, 6]",6386
1,[24],6391
1,[27],6408
1,[15],6414
1,[16],6419
1,[32],6424
4,"[16, 16, 16, 16]",6431
1,[5],6435
1,[6],6440
1,[19],6443
1,[20],6449
2,"[15, 26]",6458
1,[27],6463
1,[16],6471
1,[13],6475
12,"[4, 33, 34, 22, 27, 36, 28, 33, 4, 2, 30, 22]",6480
2,"[16, 3]",6486
1,[26],6491
1,[12],6497
5,"[26, 26, 10, 13, 20]",6503
1,[27],6509
1,[18],6518
2,"[15, 26]",6524
1,[11],6532
2,"[6, 1]",6540
1,[25],6547
1,[13],6555
2,"[25, 27]",6563
1,[37],6569
2,"[26, 10]",6576
9,"[21, 32, 36, 22, 1, 23, 21, 32, 16]",6584
1,[17],6592
3,"[28, 17, 13]",6599
9,"[19, 37, 31, 16, 13, 21, 13, 3, 21]",6609
1,[12],6615
15,"[24, 34, 27, 36, 32, 29, 34, 30, 31, 35, 26, 22, 2, 20, 33]",6623
1,[7],6631
3,"[30, 30, 2]",6640
2,"[27, 13]",6648
1,[8],6656
1,[2],6666
1,[29],6673
1,[17],6681
8,"[23, 36, 23, 36, 36, 23, 36, 7]",6687
1,[13],6690
5,"[2, 17, 14, 17, 15]",6695
1,[14],6700
5,"[28, 17, 28, 28, 28]",6704
1,[36],6709
3,"[34, 22, 22]",6717
1,[21],6723
5,"[17, 17, 17, 17, 17]",6732
3,"[27, 27, 27]",6737
1,[27],6742
2,"[33, 33]",6753
2,"[1, 37]",6757
1,[9],6762
3,"[10, 10, 10]",6765
1,[31],6768
1,[14],6777
1,[3],6782
1,[13],6786
2,"[18, 18]",6793
2,"[31, 31]",6800
1,[16],6808
3,"[37, 16, 27]",6815
1,[27],6826
1,[20],6834
